,Unnamed: 0,trainName,trainNumber,stationFrom,stationTo,trainRunsOnSun,trainRunsOnMon,trainRunsOnTue,trainRunsOnWed,trainRunsOnThu,trainRunsOnFri,trainRunsOnSat,from_DepartureTime,from_StationName,to_StationName,to_ArrivalTime,dayCount,totalDistance
325,325,ERNAKULAM EXP,16187,KIK,ERS,Y,Y,Y,Y,Y,Y,Y,16:15,KARAIKAL,ERNAKULAM JN,07:10,2.0,593.0
326,326,TPTY BBS  SF EXP,22880,TPTY,BBS,Y,N,N,N,N,N,N,12:15,TIRUPATI,BHUBANESWAR,09:35,2.0,1179.0
327,327,RANI CHENNAMMA,16589,SBC,KOP,Y,Y,Y,Y,Y,Y,Y,21:15,KSR BENGALURU,C SHAHUMHARAJ T,13:40,2.0,795.0
328,328,KONKAN KANYA EXP,10112,MAO,CSMT,Y,Y,Y,Y,Y,Y,Y,18:00,MADGAON,C SHIVAJI MAH T,05:50,2.0,765.0
329,329,PUNE HYB EXPRESS,17013,PUNE,HYB,N,Y,N,Y,N,N,Y,14:15,PUNE JN,HYDERABAD DECAN,04:30,2.0,649.0
330,330,RAJYA RANI EXP,22161,BPL,DMO,Y,Y,Y,Y,Y,Y,Y,17:55,BHOPAL  JN,DAMOH,22:45,1.0,291.0
331,331,SBC CBE UDAY EXP,22665,SBC,CBE,Y,N,Y,Y,Y,Y,Y,14:15,KSR BENGALURU,COIMBATORE JN,21:00,1.0,432.0
332,332,MS QLN EXP,16101,MS,QLN,Y,Y,Y,Y,Y,Y,Y,17:00,CHENNAI EGMORE,KOLLAM JN,08:45,2.0,763.0
333,333,AJANTA EXPRESS,17063,MMR,SC,Y,Y,Y,Y,Y,Y,Y,20:50,MANMAD JN,SECUNDERABAD JN,08:50,2.0,621.0
334,334,UTTAR S KRANTI,12445,NDLS,SVDK,Y,Y,Y,Y,Y,Y,Y,20:50,NEW DELHI,SHMATA VD KATRA,08:40,2.0,655.0
335,335,CHAURICHAURAEXP,15004,GKP,CPA,Y,Y,Y,Y,Y,Y,Y,22:45,GORAKHPUR JN,KANPUR ANWRGANJ,13:20,2.0,552.0
336,336,LINK DAKSIN EXP,12861,VSKP,NZM,Y,Y,Y,Y,Y,Y,Y,15:05,VISAKHAPATNAM,H NIZAMUDDIN,04:05,3.0,2102.0
337,337,RNC HWH INT EXP,22892,RNC,HWH,N,N,N,Y,Y,N,Y,06:55,RANCHI,HOWRAH JN,15:15,1.0,462.0
338,338,JAT CNB EXPRESS,12470,JAT,CNB,N,N,Y,N,Y,N,N,20:10,JAMMU TAWI,KANPUR CENTRAL,14:50,2.0,1026.0
339,339,UTR SAMPRK K EX,15036,KGM,DLI,Y,Y,Y,Y,Y,Y,Y,08:45,KATHGODAM,DELHI,15:25,1.0,278.0
340,340,SHRADDHA SETHU,16793,RMM,FD,Y,N,N,N,N,N,N,23:00,RAMESWARAM,FAIZABAD JN,08:30,4.0,2921.0
341,341,HW BKN EXP,14718,HW,BKN,N,N,Y,N,Y,N,Y,16:25,HARIDWAR JN,BIKANER JN,07:15,2.0,760.0
342,342,TADOBA EXPRESS,11083,LTT,KZJ,N,N,N,N,N,Y,N,11:30,LOKMANYATILAK T,KAZIPET JN,15:00,2.0,1241.0
343,343,MAHAKAUSHAL EXP,12189,JBP,NZM,Y,Y,Y,Y,Y,Y,Y,18:10,JABALPUR,H NIZAMUDDIN,11:40,2.0,961.0
344,344,MALABAR EXPRESS,16630,MAQ,TVC,Y,Y,Y,Y,Y,Y,Y,18:15,MANGALURU CNTL,TRIVANDRUM CNTL,09:30,2.0,634.0
345,345,T N SMPRK KRNTI,12652,NZM,MDU,N,N,Y,N,Y,N,N,07:10,H NIZAMUDDIN,MADURAI JN,03:25,3.0,2674.0
346,346,HATIA EXPRESS,12811,LTT,HTE,Y,Y,N,N,N,N,N,00:15,LOKMANYATILAK T,HATIA,04:00,2.0,1706.0
347,347,GOMTI EXPRESS,12420,NDLS,LKO,Y,Y,Y,Y,Y,Y,Y,12:25,NEW DELHI,LUCKNOW NR,21:25,1.0,513.0
348,348,VIVEK EXPRESS,19028,JAT,BDTS,N,Y,N,N,N,N,N,09:30,JAMMU TAWI,BANDRA TERMINUS,22:25,2.0,1881.0
349,349,PURULIA EXPRESS,22606,VM,PRR,N,N,N,N,N,N,Y,11:40,VILLUPURAM JN,PURULIA JN,23:05,2.0,1997.0
350,350,MS GAYA EXPRESS,12390,MS,GAYA,N,N,Y,N,N,N,N,07:00,CHENNAI EGMORE,GAYA JN,22:00,2.0,2343.0
351,351,VARUNA EXP,24228,CNB,BSB,Y,N,Y,Y,N,Y,Y,16:00,KANPUR CENTRAL,VARANASI JN,23:20,1.0,357.0
352,352,ALA HAZRAT EXP,14311,BE,BHUJ,N,N,Y,N,Y,N,Y,06:35,BAREILLY,BHUJ,14:00,2.0,1543.0
353,353,BUBNESWR RJDHNI,22812,NDLS,BBS,N,Y,N,N,N,Y,N,17:05,NEW DELHI,BHUBANESWAR,16:00,2.0,1724.0
354,354,NTSK  RJPB  EXP,13281,NTSK,RJPB,N,Y,N,N,N,N,N,06:30,NEW TINSUKIA JN,RAJENDRANAGAR T,14:00,2.0,1488.0
355,355,SC  UBL EXP,17320,SC,UBL,Y,Y,Y,Y,Y,Y,Y,15:40,SECUNDERABAD JN,HUBBALLI JN,07:35,2.0,661.0
356,356,TCN CHENNAI EXP,16106,TCN,MS,Y,Y,Y,Y,Y,Y,Y,19:00,TIRUCHENDUR,CHENNAI EGMORE,11:25,2.0,779.0
357,357,MMCT LJN  SUVDHA,82907,MMCT,LJN,N,N,N,N,Y,N,N,19:35,MUMBAI CENTRAL,LUCKNOW NE,20:40,2.0,1517.0
358,358,BSP BGKT EXPRESS,18243,BSP,BGKT,N,Y,Y,N,N,N,N,18:20,BILASPUR JN,BHAGAT KI KOTHI,05:00,3.0,1826.0
359,359,RNC LTT SPECIAL,02014,RNC,LTT,N,Y,N,N,N,N,N,08:30,RANCHI,LOKMANYATILAK T,12:05,2.0,1713.0
360,360,MAHAMANA EXPRESS,20904,BSB,BRC,N,N,N,N,N,Y,N,06:10,VARANASI JN,VADODARA JN,09:30,2.0,1531.0
361,361,DEE DOUBLE DCKER,12985,JP,DEE,Y,Y,Y,Y,Y,Y,Y,06:00,JAIPUR,DELHI S ROHILLA,10:30,1.0,303.0
